#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2020 01 09 21 12     4.0  9.10 999.00 29.90  69.0  6.60 999.00    99 99.00 99.00
2020 01 13 21 13     4.0  8.50 999.00 29.70  71.1  6.90 999.00    99 99.00 99.00
2020 01 14 20 24     4.0  8.30 999.00 29.60  71.2  6.90 999.00    99 99.00 99.00
2020 01 15 20 24     4.0  8.30 999.00 29.90  71.2  6.90 999.00    99 99.00 99.00
2020 01 16 20 23     4.0  8.20 999.00 30.00  71.8  7.00 999.00    99 99.00 99.00
2020 01 17 20 23     4.0  8.20 999.00 29.90  71.7  7.00 999.00    99 99.00 99.00
2020 01 20 20 20     4.0  8.10 999.00 29.70  73.2  7.10   0.50    99 99.00 99.00
2020 01 21 20 35     4.0  8.10 999.00 29.60  72.8  7.10   0.50    99 99.00 99.00
2020 01 25 20 23     4.0  8.30 999.00 29.10  72.3  7.00   0.50    99 99.00 99.00
2020 01 26 20 23     4.0  8.30 999.00 29.40  72.1  7.00 999.00    99 99.00 99.00
2020 01 28 20 22     4.0  8.30 999.00 29.60  71.3  6.90 999.00    99 99.00 99.00
2020 01 31 21 25     4.0  8.40 999.00 29.10  74.3  7.20   0.50    99 99.00 99.00
2020 03 17 19 20     3.0  8.00 999.00 29.20  74.6  7.30   1.10    99 99.00 99.00
2020 03 19 00 07     4.0  8.20 999.00 29.40  75.5  7.40   1.60    99 99.00 99.00
2020 03 19 19 23     4.0  8.30 999.00 29.30  81.4  7.90   3.30    99 99.00 99.00
2020 03 21 19 23     4.0  8.40 999.00 29.40  81.2  7.90   2.70    99 99.00 99.00
2020 03 22 19 23     4.0  8.60 999.00 29.30  85.7  8.30   4.00    99 99.00 99.00
2020 03 23 19 23     4.0  8.50 999.00 29.40  81.4  7.90   2.10    99 99.00 99.00
2020 03 24 19 23     4.0  8.60 999.00 29.20  81.3  7.90   1.80    99 99.00 99.00
2020 03 25 21 09     4.0  8.60 999.00 29.20  80.7  7.80   1.70    99 99.00 99.00
2020 03 26 19 23     4.0  8.60 999.00 29.40  77.5  7.50   1.80    99 99.00 99.00
2020 03 28 19 24     4.0  8.50 999.00 29.70  73.5  7.10   1.90    99 99.00 99.00
2020 03 30 19 23     4.0  8.70 999.00 29.60  73.6  7.10   1.30    99 99.00 99.00
2020 04 02 17 46     4.0  8.80 999.00 29.40  74.1  7.10   2.20    99 99.00 99.00
2020 04 03 19 22     4.0  8.90 999.00 29.50  75.4  7.20   1.20    99 99.00 99.00
2020 04 04 19 22     4.0  8.90 999.00 29.50  76.4  7.30   1.00    99 99.00 99.00
2020 04 06 19 19     4.0  8.80 999.00 29.60  75.1  7.20   1.80    99 99.00 99.00
2020 04 07 22 11     4.0  8.80 999.00 29.80  74.6  7.20   1.60    99 99.00 99.00
