#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2020 04 09 07 35     4.0  8.90 999.00 29.80  75.1  7.20   2.20    99 99.00 99.00
2020 04 10 07 23     4.0  8.80 999.00 29.90  73.0  7.00   2.10    99 99.00 99.00
2020 04 11 07 23     4.0  8.70 999.00 30.00  69.0  6.60   1.20    99 99.00 99.00
2020 04 11 19 24     4.0  8.90 999.00 29.90  73.1  7.00   1.50    99 99.00 99.00
2020 04 14 07 24     4.0  9.30 999.00 29.80  79.2  7.50   3.00    99 99.00 99.00
2020 04 14 19 24     4.0  9.10 999.00 29.90  79.0  7.50   1.50    99 99.00 99.00
2020 04 15 19 24     4.0  9.30 999.00 29.90  79.0  7.50   1.50    99 99.00 99.00
2020 04 16 07 24     4.0  9.80 999.00 29.60  92.8  8.70   4.70    99 99.00 99.00
2020 04 17 19 24     4.0  9.80 999.00 29.70  91.1  8.50   4.20    99 99.00 99.00
2020 04 19 19 25     4.0  9.90 999.00 29.70  89.1  8.30   4.20    99 99.00 99.00
2020 04 20 19 55     4.0 10.10 999.00 29.50 119.4 11.10   5.00    99 99.00 99.00
2020 04 21 07 30     4.0  9.60 999.00 29.80 103.0  9.70   2.70    99 99.00 99.00
2020 04 21 19 29     4.0  9.90 999.00 29.70 108.7 10.20   4.70    99 99.00 99.00
2020 04 22 07 30     4.0  9.60 999.00 29.90 101.4  9.50   3.10    99 99.00 99.00
2020 04 24 19 30     4.0 10.20 999.00 29.30 112.6 10.50   5.40    99 99.00 99.00
2020 04 25 19 28     4.0 10.00 999.00 29.60 101.7  9.50   3.20    99 99.00 99.00
2020 04 26 19 29     4.0 10.20 999.00 29.50 100.2  9.30   3.70    99 99.00 99.00
2020 04 27 19 29     4.0 10.00 999.00 29.70  96.9  9.10   2.60    99 99.00 99.00
2020 04 28 19 30     4.0  9.80 999.00 29.90  93.4  8.80   2.00    99 99.00 99.00
2020 04 30 19 28     4.0 10.20 999.00 29.80 102.2  9.50   2.60    99 99.00 99.00
2020 05 01 19 28     4.0 10.20 999.00 29.70 106.3  9.90   4.40    99 99.00 99.00
2020 05 02 19 29     4.0  9.80 999.00 29.90  93.8  8.80   2.70    99 99.00 99.00
2020 05 03 19 29     4.0 10.10 999.00 29.80  99.8  9.30   3.90    99 99.00 99.00
2020 05 04 19 28     4.0 10.10 999.00 29.70  99.4  9.30   4.70    99 99.00 99.00
2020 05 05 19 29     4.0 10.10 999.00 29.70 100.4  9.30   5.00    99 99.00 99.00
2020 05 06 07 30     4.0 10.00 999.00 29.90  97.0  9.00   3.80    99 99.00 99.00
2020 05 06 19 29     4.0 10.50 999.00 29.60 112.2 10.40   7.10    99 99.00 99.00
2020 05 07 07 30     4.0 10.30 999.00 29.80 103.9  9.60   4.40    99 99.00 99.00
2020 05 07 19 28     4.0 10.30 999.00 29.80 102.8  9.50   5.10    99 99.00 99.00
2020 05 08 07 30     4.0 10.20 999.00 29.90 101.8  9.40   3.70    99 99.00 99.00
2020 05 08 19 28     4.0 10.10 999.00 30.00  97.9  9.10   2.40    99 99.00 99.00
2020 05 09 07 30     4.0 10.30 999.00 29.90  99.5  9.20   2.80    99 99.00 99.00
2020 05 09 19 29     4.0 10.30 999.00 30.00 103.1  9.50   4.10    99 99.00 99.00
2020 05 10 07 30     4.0 10.30 999.00 30.00  96.1  8.90   2.40    99 99.00 99.00
2020 05 11 07 31     4.0 10.30 999.00 30.00  93.5  8.70   2.00    99 99.00 99.00
2020 05 11 19 30     4.0 10.40 999.00 30.10  99.9  9.20   2.90    99 99.00 99.00
2020 05 12 19 29     4.0 10.10 999.00 30.10  87.4  8.10   1.40    99 99.00 99.00
2020 05 13 19 24     4.0 10.50 999.00 30.00  95.4  8.80   2.40    99 99.00 99.00
2020 05 14 07 31     4.0 10.80 999.00 29.80 101.0  9.30   3.30    99 99.00 99.00
2020 05 14 19 24     4.0 10.80 999.00 29.90 101.8  9.30   2.90    99 99.00 99.00
2020 05 19 07 31     4.0 12.20 999.00 29.40 137.1 12.20   4.90    99 99.00 99.00
2020 05 19 19 24     4.0 11.90 999.00 29.50 124.2 11.20   5.40    99 99.00 99.00
2020 05 20 07 50     4.0 11.60 999.00 29.60 117.7 10.60   4.20    99 99.00 99.00
2020 05 20 19 30     4.0 11.80 999.00 29.60 118.6 10.70   5.00    99 99.00 99.00
2020 06 05 07 31     4.0 11.50 999.00 29.90  98.5  8.90   2.40    99 99.00 99.00
2020 06 06 07 31     4.0 11.10 999.00 29.80  90.7  8.30   1.80    99 99.00 99.00
2020 06 06 19 30     4.0 10.90 999.00 30.00  84.1  7.70   1.60    99 99.00 99.00
2020 06 09 19 30     4.0 11.30 999.00 29.80  84.7  7.70   0.90    99 99.00 99.00
2020 06 10 07 32     4.0 11.60 999.00 29.60  88.5  8.00   1.70    99 99.00 99.00
2020 06 10 19 25     4.0 11.20 999.00 29.80  81.7  7.40   0.70    99 99.00 99.00
2020 06 16 19 26     4.0 12.90 999.00 28.90 103.4  9.10   7.30    99 99.00 99.00
2020 06 25 01 32     4.0 11.70 999.00 29.70  92.0  8.30   8.50    99 99.00 99.00
2020 06 25 07 29     4.0 12.50 999.00 29.60 113.9 10.10  17.00    99 99.00 99.00
2020 06 25 19 29     4.0 11.40 999.00 30.00  81.2  7.30   6.40    99 99.00 99.00
2020 06 26 13 29     4.0 12.10 999.00 29.60  97.8  8.70  10.40    99 99.00 99.00
2020 06 26 19 28     4.0 11.40 999.00 29.90  81.7  7.40   6.00    99 99.00 99.00
2020 06 27 01 30     4.0 12.70 999.00 29.50 120.9 10.70  17.90    99 99.00 99.00
2020 06 27 07 29     4.0 12.00 999.00 29.50  95.3  8.50   9.50    99 99.00 99.00
2020 06 27 13 29     4.0 12.20 999.00 29.70  99.2  8.80  11.40    99 99.00 99.00
2020 06 27 19 29     4.0 12.30 999.00 29.60 110.0  9.80  13.70    99 99.00 99.00
2020 06 28 01 30     4.0 12.60 999.00 29.70 114.0 10.10  15.70    99 99.00 99.00
2020 06 28 07 29     4.0 11.80 999.00 29.60  90.3  8.10   8.30    99 99.00 99.00
2020 06 28 13 29     4.0 12.00 999.00 29.80  94.4  8.40   9.10    99 99.00 99.00
2020 06 28 19 28     4.0 12.80 999.00 29.70 118.5 10.40  14.40    99 99.00 99.00
2020 06 29 01 29     4.0 12.70 999.00 29.70 111.7  9.80  12.50    99 99.00 99.00
2020 06 29 07 29     4.0 11.80 999.00 29.50  85.7  7.70   4.70    99 99.00 99.00
2020 06 29 13 29     4.0 12.40 999.00 29.70 102.1  9.10   7.90    99 99.00 99.00
2020 06 29 19 28     4.0 12.30 999.00 29.70 100.4  8.90   6.30    99 99.00 99.00
2020 06 30 07 29     4.0 12.10 999.00 29.80  88.5  7.90   3.90    99 99.00 99.00
2020 06 30 13 29     4.0 13.40 999.00 29.50 105.7  9.20   3.90    99 99.00 99.00
2020 06 30 19 29     4.0 14.10 999.00 29.00 105.8  9.10   3.30    99 99.00 99.00
2020 07 01 01 29     4.0 13.10 999.00 29.40  97.9  8.60   3.00    99 99.00 99.00
2020 07 01 07 29     4.0 13.10 999.00 29.50  96.9  8.50   2.80    99 99.00 99.00
2020 07 01 13 31     4.0 12.80 999.00 29.50  88.9  7.80   1.80    99 99.00 99.00
2020 07 02 01 29     4.0 13.00 999.00 29.40  92.0  8.10   2.40    99 99.00 99.00
2020 07 02 13 31     4.0 12.00 999.00 29.80  78.2  7.00   1.00    99 99.00 99.00
2020 07 02 19 29     4.0 13.30 999.00 29.30  88.8  7.80   1.20    99 99.00 99.00
2020 07 03 01 29     4.0 12.50 999.00 29.60  82.4  7.30   1.20    99 99.00 99.00
2020 07 03 13 30     4.0 12.20 999.00 29.70  77.7  6.90   0.60    99 99.00 99.00
2020 07 03 19 30     4.0 12.80 999.00 29.40  81.0  7.10   0.60    99 99.00 99.00
2020 07 04 01 29     4.0 12.10 999.00 29.70  75.9  6.80   0.50    99 99.00 99.00
2020 07 04 07 29     4.0 12.50 999.00 29.60  78.1  6.90 999.00    99 99.00 99.00
2020 07 04 13 30     4.0 11.80 999.00 29.80  71.9  6.40 999.00    99 99.00 99.00
2020 07 05 13 29     4.0 11.90 999.00 29.80  70.4  6.30 999.00    99 99.00 99.00
2020 07 06 01 30     4.0 13.10 999.00 29.50  76.6  6.70 999.00    99 99.00 99.00
2020 07 06 07 29     4.0 12.40 999.00 29.70  72.6  6.40 999.00    99 99.00 99.00
2020 07 06 19 28     4.0 12.50 999.00 29.70  71.5  6.30 999.00    99 99.00 99.00
2020 07 07 07 29     4.0 12.00 999.00 29.60  69.9  6.20   0.50    99 99.00 99.00
2020 07 07 13 29     4.0 12.10 999.00 29.80  70.0  6.20 999.00    99 99.00 99.00
2020 07 07 19 28     4.0 12.50 999.00 29.70  71.0  6.30 999.00    99 99.00 99.00
2020 07 08 01 33     4.0 12.00 999.00 29.60  70.1  6.30   0.80    99 99.00 99.00
2020 07 08 07 30     4.0 12.00 999.00 29.80  68.0  6.10   0.50    99 99.00 99.00
2020 07 08 13 29     4.0 12.20 999.00 29.80  69.5  6.20   0.50    99 99.00 99.00
2020 07 08 19 29     4.0 11.90 999.00 29.90  65.2  5.80 999.00    99 99.00 99.00
2020 07 09 07 24     4.0 12.30 999.00 29.80  69.5  6.20   0.90    99 99.00 99.00
2020 07 09 13 46     4.0 12.60 999.00 29.70  70.8  6.30   0.80    99 99.00 99.00
2020 07 09 19 29     4.0 11.80 999.00 29.90  65.3  5.90   0.60    99 99.00 99.00
2020 07 10 07 30     4.0 11.90 999.00 29.80  68.3  6.10   1.50    99 99.00 99.00
2020 07 10 13 30     4.0 12.40 999.00 29.80  69.6  6.20   1.40    99 99.00 99.00
2020 07 10 19 29     4.0 11.90 999.00 29.90  66.7  6.00   1.00    99 99.00 99.00
2020 07 11 13 29     4.0 12.30 999.00 29.80  69.7  6.20   1.30    99 99.00 99.00
2020 07 11 19 28     4.0 12.10 999.00 29.90  67.5  6.00   1.50    99 99.00 99.00
2020 07 12 01 29     4.0 12.80 999.00 29.70  76.5  6.70   2.30    99 99.00 99.00
2020 07 12 19 28     4.0 12.70 999.00 29.60  75.6  6.70   2.60    99 99.00 99.00
2020 07 13 07 29     4.0 12.90 999.00 29.60  80.1  7.00   3.50    99 99.00 99.00
2020 07 13 13 29     4.0 12.10 999.00 29.80  67.1  6.00   1.70    99 99.00 99.00
2020 07 13 19 28     4.0 13.50 999.00 29.20  87.5  7.60   4.20    99 99.00 99.00
2020 07 14 01 28     4.0 13.00 999.00 29.50  81.8  7.20   3.80    99 99.00 99.00
2020 07 14 13 29     4.0 14.30 999.00 29.00  92.8  7.90   5.90    99 99.00 99.00
2020 07 14 19 28     4.0 14.20 999.00 29.10  98.7  8.50   5.50    99 99.00 99.00
2020 07 15 01 28     4.0 13.70 999.00 29.20  96.3  8.30   4.30    99 99.00 99.00
2020 07 15 13 30     4.0 13.30 999.00 29.50  83.8  7.30   3.30    99 99.00 99.00
2020 07 15 19 28     4.0 13.20 999.00 29.30  93.5  8.20   5.90    99 99.00 99.00
2020 07 16 01 28     4.0 13.70 999.00 29.30  98.3  8.50   5.10    99 99.00 99.00
2020 07 16 07 29     4.0 13.30 999.00 29.20  93.7  8.20   6.70    99 99.00 99.00
2020 07 16 13 30     4.0 12.80 999.00 29.70  77.4  6.80   4.20    99 99.00 99.00
2020 07 16 19 28     4.0 13.10 999.00 29.30  92.1  8.10   6.30    99 99.00 99.00
2020 07 17 07 29     4.0 13.70 999.00 29.40  97.8  8.50   5.20    99 99.00 99.00
2020 07 17 13 30     4.0 12.10 999.00 29.90  68.8  6.10   6.60    99 99.00 99.00
2020 07 17 19 29     4.0 13.90 999.00 29.50  94.4  8.10   6.30    99 99.00 99.00
2020 07 18 01 28     4.0 12.90 999.00 29.50  84.5  7.40   9.60    99 99.00 99.00
2020 07 18 07 29     4.0 12.90 999.00 29.50  86.4  7.60   9.20    99 99.00 99.00
2020 07 18 13 30     4.0 13.10 999.00 29.60  83.1  7.30   4.90    99 99.00 99.00
2020 07 18 19 28     4.0 13.30 999.00 29.60  82.8  7.20   4.40    99 99.00 99.00
2020 07 19 01 29     4.0 13.30 999.00 29.60  90.2  7.90   5.80    99 99.00 99.00
2020 07 19 07 29     4.0 12.80 999.00 29.70  82.6  7.30   5.40    99 99.00 99.00
2020 07 19 13 24     4.0 12.90 999.00 29.60  82.6  7.30   4.30    99 99.00 99.00
2020 07 20 01 29     4.0 12.30 999.00 29.80  76.1  6.80   8.50    99 99.00 99.00
2020 07 20 07 29     4.0 12.40 999.00 29.80  77.2  6.80   6.00    99 99.00 99.00
2020 07 20 13 29     4.0 12.70 999.00 29.80  81.0  7.10   5.80    99 99.00 99.00
2020 07 20 19 28     4.0 13.10 999.00 29.80  86.1  7.50   6.90    99 99.00 99.00
2020 07 21 01 29     4.0 13.00 999.00 29.80  85.7  7.50   7.20    99 99.00 99.00
2020 07 21 07 29     4.0 12.40 999.00 30.00  77.6  6.90   5.50    99 99.00 99.00
2020 07 21 13 29     4.0 12.30 999.00 30.00  74.7  6.60   3.60    99 99.00 99.00
2020 07 21 19 28     4.0 13.60 999.00 29.80  92.2  8.00   8.80    99 99.00 99.00
2020 07 22 07 29     4.0 12.80 999.00 29.90  81.8  7.20   8.00    99 99.00 99.00
2020 07 22 13 29     4.0 12.40 999.00 30.00  76.8  6.80   4.80    99 99.00 99.00
2020 07 22 19 29     4.0 12.80 999.00 29.90  79.2  7.00   6.40    99 99.00 99.00
2020 07 23 01 33     4.0 12.70 999.00 30.00  83.8  7.40   8.30    99 99.00 99.00
2020 07 23 07 29     4.0 13.00 999.00 29.90  87.1  7.60   7.90    99 99.00 99.00
2020 07 23 13 29     4.0 12.50 999.00 30.00  79.1  7.00   6.20    99 99.00 99.00
2020 07 24 01 32     4.0 12.70 999.00 29.90  83.0  7.30  12.50    99 99.00 99.00
2020 07 24 07 29     4.0 12.90 999.00 29.90  81.9  7.20   8.00    99 99.00 99.00
2020 07 24 13 29     4.0 13.00 999.00 29.80  83.2  7.30   7.40    99 99.00 99.00
2020 07 25 01 30     4.0 12.90 999.00 29.80  84.3  7.40   7.90    99 99.00 99.00
2020 07 25 07 29     4.0 12.60 999.00 29.90  79.1  7.00   7.70    99 99.00 99.00
2020 07 26 13 29     4.0 13.40 999.00 29.70  90.9  7.90   5.30    99 99.00 99.00
2020 07 26 19 28     4.0 13.10 999.00 29.80  90.4  7.90   7.10    99 99.00 99.00
2020 07 27 01 29     4.0 13.40 999.00 29.90  94.1  8.20   6.30    99 99.00 99.00
2020 07 27 19 28     4.0 12.70 999.00 30.00  84.2  7.40   6.10    99 99.00 99.00
2020 07 28 01 28     4.0 12.80 999.00 30.00  87.2  7.70   5.20    99 99.00 99.00
2020 07 28 07 29     4.0 12.70 999.00 30.10  81.5  7.20   5.00    99 99.00 99.00
2020 07 28 13 29     4.0 12.80 999.00 30.00  82.5  7.20   6.60    99 99.00 99.00
2020 07 28 19 28     4.0 12.80 999.00 30.00  88.4  7.70   6.50    99 99.00 99.00
2020 07 29 13 30     4.0 12.90 999.00 30.00  87.9  7.70   9.20    99 99.00 99.00
2020 07 29 19 28     4.0 13.10 999.00 29.90  95.1  8.30  10.90    99 99.00 99.00
2020 07 30 01 28     4.0 13.90 999.00 29.90 115.8  9.90   8.70    99 99.00 99.00
2020 07 30 07 29     4.0 13.60 999.00 29.90 109.5  9.50   9.10    99 99.00 99.00
2020 07 30 19 28     4.0 13.10 999.00 30.00  93.3  8.10   6.90    99 99.00 99.00
2020 07 31 01 28     4.0 13.00 999.00 29.90  91.2  8.00   8.20    99 99.00 99.00
2020 08 01 01 28     4.0 13.30 999.00 29.90  96.1  8.30   6.40    99 99.00 99.00
2020 08 01 07 29     4.0 13.30 999.00 30.00  97.3  8.40   5.80    99 99.00 99.00
2020 08 01 13 30     4.0 12.50 999.00 30.10  77.3  6.80   5.30    99 99.00 99.00
2020 08 01 19 29     4.0 13.70 999.00 29.90  94.9  8.20   5.50    99 99.00 99.00
2020 08 02 01 28     4.0 13.20 999.00 30.00  91.5  8.00   6.50    99 99.00 99.00
2020 08 02 07 29     4.0 13.50 999.00 29.90  91.2  7.90   6.00    99 99.00 99.00
2020 08 03 07 29     4.0 13.00 999.00 30.00  78.5  6.90   3.10    99 99.00 99.00
2020 08 03 19 23     4.0 14.40 999.00 29.60  83.9  7.10   3.90    99 99.00 99.00
2020 08 04 07 24     4.0 12.70 999.00 30.10  72.2  6.30   1.70    99 99.00 99.00
2020 08 04 13 46     4.0 13.80 999.00 29.80  80.3  6.90   2.40    99 99.00 99.00
2020 08 05 01 30     4.0 13.20 999.00 30.00  80.9  7.00   3.70    99 99.00 99.00
2020 08 05 19 33     4.0 13.40 999.00 30.00  77.6  6.70   0.60    99 99.00 99.00
2020 08 06 01 30     4.0 13.00 999.00 30.10  81.6  7.10   1.70    99 99.00 99.00
2020 08 06 19 28     4.0 13.40 999.00 30.00  77.2  6.70   1.00    99 99.00 99.00
2020 08 07 01 24     4.0 12.90 999.00 30.10  80.8  7.10   2.30    99 99.00 99.00
2020 08 07 13 23     4.0 13.30 999.00 30.00  75.4  6.60   1.10    99 99.00 99.00
2020 08 07 19 42     4.0 12.20 999.00 30.30  68.1  6.00   0.50    99 99.00 99.00
2020 08 08 01 22     4.0 13.00 999.00 30.10  77.4  6.80   1.60    99 99.00 99.00
2020 08 08 13 23     4.0 13.60 999.00 29.90  76.3  6.60   1.70    99 99.00 99.00
2020 08 08 19 43     4.0 13.10 999.00 30.10  75.0  6.50   1.60    99 99.00 99.00
2020 08 09 01 27     4.0 13.50 999.00 29.90  77.5  6.70   1.90    99 99.00 99.00
2020 08 09 07 28     4.0 12.60 999.00 30.20  71.2  6.30   1.30    99 99.00 99.00
2020 08 09 13 28     4.0 13.40 999.00 30.00  74.3  6.40   1.80    99 99.00 99.00
2020 08 09 19 26     4.0 13.00 999.00 30.10  73.4  6.40   0.70    99 99.00 99.00
2020 08 10 01 27     4.0 14.50 999.00 29.70  87.2  7.40   3.50    99 99.00 99.00
2020 08 10 07 28     4.0 13.90 999.00 30.00  83.1  7.10   3.90    99 99.00 99.00
2020 08 10 13 28     4.0 13.30 999.00 30.00  76.1  6.60   2.20    99 99.00 99.00
2020 08 10 19 21     4.0 13.10 999.00 30.10  76.4  6.70   1.50    99 99.00 99.00
2020 08 11 01 38     4.0 13.40 999.00 30.10  80.5  7.00   2.50    99 99.00 99.00
2020 08 11 07 44     4.0 14.50 999.00 29.80  92.4  7.80   5.00    99 99.00 99.00
2020 08 11 13 28     4.0 14.30 999.00 29.80  84.9  7.20   4.40    99 99.00 99.00
2020 08 11 19 26     4.0 13.60 999.00 30.00  83.0  7.20   5.70    99 99.00 99.00
2020 08 12 01 22     4.0 13.90 999.00 29.90  94.0  8.10   5.50    99 99.00 99.00
2020 08 12 07 39     4.0 13.60 999.00 30.00  87.0  7.50   8.90    99 99.00 99.00
2020 08 12 13 44     4.0 13.80 999.00 30.00  84.8  7.30   4.00    99 99.00 99.00
2020 08 12 19 26     4.0 14.00 999.00 29.80  89.6  7.70   4.10    99 99.00 99.00
2020 08 13 01 27     4.0 13.90 999.00 29.90  91.2  7.80   4.30    99 99.00 99.00
2020 08 13 07 22     4.0 13.80 999.00 29.90  87.6  7.50   4.10    99 99.00 99.00
2020 08 13 13 44     4.0 13.90 999.00 29.90  84.6  7.30   3.50    99 99.00 99.00
2020 08 13 19 21     4.0 14.00 999.00 29.90  90.3  7.70   3.70    99 99.00 99.00
2020 08 14 01 43     4.0 14.60 999.00 29.80 100.4  8.50   4.60    99 99.00 99.00
2020 08 14 07 27     4.0 14.10 999.00 29.90  94.5  8.10   3.60    99 99.00 99.00
2020 08 14 19 26     4.0 14.30 999.00 29.80  90.9  7.70   3.40    99 99.00 99.00
2020 08 15 01 27     4.0 14.30 999.00 29.80  96.4  8.20   3.50    99 99.00 99.00
2020 08 15 13 44     4.0 13.20 999.00 30.10  74.8  6.50   1.40    99 99.00 99.00
2020 08 15 19 27     4.0 14.10 999.00 29.90  87.8  7.50   1.70    99 99.00 99.00
2020 08 16 01 22     4.0 13.60 999.00 29.90  86.5  7.50   3.10    99 99.00 99.00
2020 08 16 13 45     4.0 13.90 999.00 29.90  84.5  7.20   1.60    99 99.00 99.00
2020 08 16 19 22     4.0 13.60 999.00 30.00  80.1  6.90   1.10    99 99.00 99.00
2020 08 17 01 38     4.0 13.10 999.00 30.10  80.7  7.00   2.40    99 99.00 99.00
2020 08 17 07 44     4.0 13.50 999.00 30.10  79.3  6.90   1.70    99 99.00 99.00
2020 08 17 13 28     4.0 13.60 999.00 30.00  78.5  6.80   1.40    99 99.00 99.00
2020 08 18 01 22     4.0 13.80 999.00 30.10  80.1  6.90   1.70    99 99.00 99.00
2020 08 18 07 44     4.0 13.00 999.00 30.20  72.3  6.30   1.30    99 99.00 99.00
2020 08 18 13 28     4.0 12.90 999.00 30.20  71.9  6.30   1.20    99 99.00 99.00
2020 08 18 19 28     4.0 14.10 999.00 29.90  79.6  6.80   1.60    99 99.00 99.00
2020 08 19 07 27     4.0 13.20 999.00 30.20  72.6  6.30   1.10    99 99.00 99.00
2020 08 19 13 28     4.0 13.00 999.00 30.20  71.0  6.20   1.10    99 99.00 99.00
2020 08 20 01 28     4.0 13.50 999.00 30.20  76.8  6.60   1.50    99 99.00 99.00
2020 08 20 07 27     4.0 13.00 999.00 30.20  70.8  6.20   1.00    99 99.00 99.00
2020 08 20 13 28     4.0 13.30 999.00 30.10  71.6  6.20   1.00    99 99.00 99.00
2020 08 20 19 26     4.0 13.60 999.00 30.10  72.0  6.20   0.80    99 99.00 99.00
2020 08 21 01 28     4.0 13.00 999.00 30.30  73.2  6.40   1.50    99 99.00 99.00
2020 08 21 07 27     4.0 12.90 999.00 30.30  69.6  6.10   0.90    99 99.00 99.00
2020 08 21 13 28     4.0 13.10 999.00 30.20  71.2  6.20   0.90    99 99.00 99.00
2020 08 21 19 26     4.0 14.10 999.00 29.90  73.8  6.30   2.10    99 99.00 99.00
2020 08 22 01 29     4.0 13.60 999.00 30.10  73.9  6.40   1.50    99 99.00 99.00
2020 08 22 07 28     4.0 13.00 999.00 30.20  68.4  6.00   4.10    99 99.00 99.00
2020 08 22 13 28     4.0 14.10 999.00 29.80  72.2  6.20   1.40    99 99.00 99.00
2020 08 22 19 21     4.0 13.00 999.00 30.20  67.8  5.90   0.60    99 99.00 99.00
2020 08 23 01 45     4.0 13.30 999.00 30.20  72.5  6.30   1.80    99 99.00 99.00
2020 08 23 07 28     4.0 12.80 999.00 30.30  67.3  5.90   1.00    99 99.00 99.00
2020 08 23 13 28     4.0 14.40 999.00 29.70  77.3  6.60   2.20    99 99.00 99.00
2020 08 23 19 26     4.0 12.40 999.00 30.50  64.9  5.70   0.50    99 99.00 99.00
2020 08 24 07 28     4.0 12.40 999.00 30.50  65.0  5.70   0.90    99 99.00 99.00
2020 08 24 13 28     4.0 13.70 999.00 30.00  72.7  6.30   1.90    99 99.00 99.00
2020 08 24 19 26     4.0 13.60 999.00 30.10  72.9  6.30   5.20    99 99.00 99.00
2020 08 25 01 27     4.0 14.70 999.00 29.90  81.0  6.80   2.40    99 99.00 99.00
2020 08 25 07 28     4.0 12.70 999.00 30.40  67.4  5.90   1.40    99 99.00 99.00
2020 08 25 13 28     4.0 13.40 999.00 30.10  70.0  6.10   1.70    99 99.00 99.00
2020 08 26 01 27     4.0 13.00 999.00 30.30  69.4  6.10   2.00    99 99.00 99.00
2020 08 26 07 28     4.0 12.70 999.00 30.40  68.8  6.00   2.00    99 99.00 99.00
2020 08 26 13 28     4.0 13.40 999.00 30.20  73.1  6.30   1.90    99 99.00 99.00
2020 08 26 19 26     4.0 13.00 999.00 30.30  73.4  6.40   1.80    99 99.00 99.00
2020 08 27 01 27     4.0 13.40 999.00 30.20  74.5  6.40   2.60    99 99.00 99.00
2020 08 27 07 27     4.0 13.70 999.00 30.20  79.6  6.90   1.90    99 99.00 99.00
2020 08 27 19 24     4.0 13.20 999.00 30.20  74.7  6.50   1.90    99 99.00 99.00
2020 08 28 01 27     4.0 13.50 999.00 30.20  80.7  7.00   2.80    99 99.00 99.00
2020 08 28 07 22     4.0 13.60 999.00 30.30  79.8  6.90   2.40    99 99.00 99.00
2020 08 28 13 45     4.0 13.20 999.00 30.30  71.7  6.20   7.20    99 99.00 99.00
2020 08 28 19 26     4.0 13.50 999.00 30.20  76.9  6.60   1.80    99 99.00 99.00
2020 08 29 01 22     4.0 13.90 999.00 30.20  87.0  7.50   3.40    99 99.00 99.00
2020 08 29 13 28     4.0 12.70 999.00 30.40  68.5  6.00   1.10    99 99.00 99.00
