#YY  MM DD hh mm   DEPTH  OTMP   COND   SAL   O2% O2PPM  CLCON  TURB    PH    EH
#yr  mo dy hr mn       m  degC  mS/cm   psu     %   ppm   ug/l   FTU     -    mv
2020 03 18 19 23     3.0  8.90 999.00 27.10 130.0 12.60   0.90    99 99.00 99.00
2020 03 19 07 25     3.0  9.00 999.00 27.00 132.6 12.90 999.00    99 99.00 99.00
2020 03 19 19 23     3.0  9.00 999.00 27.40 119.7 11.60   0.60    99 99.00 99.00
2020 03 20 07 25     3.0  9.60 999.00 26.60 127.0 12.20   1.00    99 99.00 99.00
2020 03 20 19 24     3.0  9.60 999.00 27.00 122.5 11.80 999.00    99 99.00 99.00
2020 03 21 07 25     3.0  9.50 999.00 27.00 115.6 11.10   1.30    99 99.00 99.00
2020 03 21 19 25     3.0  9.70 999.00 26.70 117.6 11.30   1.00    99 99.00 99.00
2020 03 22 07 25     3.0  9.70 999.00 27.30 116.9 11.20   2.00    99 99.00 99.00
2020 03 22 19 24     3.0  9.90 999.00 27.30 119.1 11.30   1.10    99 99.00 99.00
2020 03 23 07 25     3.0  9.30 999.00 28.50  87.2  8.30   3.30    99 99.00 99.00
2020 03 23 19 24     3.0  9.20 999.00 28.80  75.4  7.20   2.30    99 99.00 99.00
2020 03 24 07 25     3.0  9.40 999.00 28.90  76.1  7.20   4.10    99 99.00 99.00
2020 03 24 19 25     3.0  9.40 999.00 28.90  76.7  7.30   6.00    99 99.00 99.00
2020 03 25 07 25     3.0  9.50 999.00 28.70  82.2  7.80  10.70    99 99.00 99.00
2020 03 27 07 26     3.0  9.30 999.00 28.80  94.1  9.00   2.40    99 99.00 99.00
2020 03 27 19 25     3.0  9.30 999.00 28.80  91.4  8.70   1.80    99 99.00 99.00
2020 03 28 07 25     3.0  9.40 999.00 28.40  95.0  9.10   1.40    99 99.00 99.00
2020 03 29 07 26     3.0  9.10 999.00 29.20  75.0  7.20   4.30    99 99.00 99.00
2020 03 29 19 24     3.0  9.30 999.00 28.80  75.7  7.20 999.00    99 99.00 99.00
2020 03 30 07 25     3.0  9.30 999.00 29.40  72.5  6.90   4.60    99 99.00 99.00
2020 03 30 20 45     3.0  9.10 999.00 29.30  70.2  6.70   1.50    99 99.00 99.00
2020 04 01 20 49     3.0  9.30 999.00 28.70  68.9  6.60   2.80    99 99.00 99.00
2020 04 02 07 25     3.0  9.40 999.00 28.20  90.6  8.70 999.00    99 99.00 99.00
2020 04 02 19 24     3.0  9.30 999.00 26.80  99.7  9.60 999.00    99 99.00 99.00
2020 04 03 07 25     3.0  9.60 999.00 28.60  94.0  8.90 999.00    99 99.00 99.00
2020 04 03 19 25     3.0  9.40 999.00 28.50  98.5  9.40 999.00    99 99.00 99.00
2020 04 04 07 25     3.0  9.40 999.00 28.80  93.6  8.90 999.00    99 99.00 99.00
2020 04 04 19 24     3.0  9.10 999.00 28.40 109.2 10.50   9.90    99 99.00 99.00
2020 04 05 07 26     3.0  9.70 999.00 28.20 130.7 12.40  16.40    99 99.00 99.00
2020 04 05 19 25     3.0  9.30 999.00 28.00 125.5 12.00  15.60    99 99.00 99.00
2020 04 06 07 26     3.0  9.60 999.00 28.10 131.1 12.50 999.00    99 99.00 99.00
2020 04 06 19 24     3.0  9.90 999.00 27.00 147.0 14.00 999.00    99 99.00 99.00
2020 04 07 07 26     3.0 10.30 999.00 27.30 999.0 99.00 999.00    99 99.00 99.00
2020 04 07 19 25     3.0 10.30 999.00 26.90 999.0 99.00 999.00    99 99.00 99.00
2020 04 08 07 26     3.0 10.50 999.00 25.90 149.3 14.10 999.00    99 99.00 99.00
2020 04 08 19 24     3.0 10.60 999.00 26.60 154.1 14.50 999.00    99 99.00 99.00
2020 04 09 07 25     3.0 10.70 999.00 27.00 160.1 15.00 999.00    99 99.00 99.00
2020 04 09 19 24     3.0 10.80 999.00 26.10 141.6 13.30 999.00    99 99.00 99.00
2020 04 10 07 25     3.0 11.30 999.00 26.40 149.8 13.90 999.00    99 99.00 99.00
2020 04 10 19 24     3.0 11.20 999.00 26.00 141.8 13.20 999.00    99 99.00 99.00
2020 04 11 07 25     3.0 10.90 999.00 27.10 147.2 13.70 999.00    99 99.00 99.00
2020 04 12 07 25     3.0 11.50 999.00 26.30 136.0 12.60 999.00    99 99.00 99.00
2020 04 12 19 24     3.0 11.30 999.00 26.70 135.3 12.50 999.00    99 99.00 99.00
2020 04 13 07 25     3.0 11.40 999.00 27.20 133.8 12.30 999.00    99 99.00 99.00
2020 04 13 19 24     3.0 10.60 999.00 26.90 125.6 11.80 999.00    99 99.00 99.00
2020 04 14 07 25     3.0 11.10 999.00 27.20 133.1 12.30   0.80    99 99.00 99.00
2020 04 14 19 24     3.0 11.90 999.00 26.60 134.2 12.30 999.00    99 99.00 99.00
2020 04 15 07 25     3.0 11.70 999.00 26.60 130.3 12.00 999.00    99 99.00 99.00
2020 04 15 19 23     3.0 11.20 999.00 27.40 136.1 12.60 999.00    99 99.00 99.00
2020 04 16 07 25     3.0 11.70 999.00 26.80 128.3 11.80   0.70    99 99.00 99.00
2020 04 16 19 24     3.0 11.90 999.00 26.80 127.8 11.70 999.00    99 99.00 99.00
2020 04 17 07 25     3.0 11.70 999.00 26.80 125.3 11.50   0.90    99 99.00 99.00
2020 04 17 19 24     3.0 12.00 999.00 26.50 121.0 11.00 999.00    99 99.00 99.00
2020 04 18 07 26     3.0 12.30 999.00 26.10 120.2 10.90 999.00    99 99.00 99.00
2020 04 19 07 26     3.0 12.10 999.00 26.70 126.5 11.50 999.00    99 99.00 99.00
2020 04 24 19 46     3.0 12.00 999.00 27.10  59.6  5.40   0.90    99 99.00 99.00
2020 05 05 19 36     3.0 10.00 999.00 29.20  24.7  2.30   5.90    99 99.00 99.00
2020 05 06 01 30     3.0  9.70 999.00 29.70  22.8  2.10  12.50    99 99.00 99.00
2020 05 06 07 31     3.0 10.70 999.00 28.40  26.9  2.50  11.10    99 99.00 99.00
2020 05 06 13 31     3.0 10.50 999.00 28.50  42.2  3.90  10.20    99 99.00 99.00
2020 05 06 19 29     3.0 10.40 999.00 28.70  26.1  2.40   5.70    99 99.00 99.00
2020 05 07 01 30     3.0  9.90 999.00 29.50  26.0  2.40   1.30    99 99.00 99.00
2020 05 07 07 30     3.0 10.10 999.00 29.40  23.1  2.20   7.00    99 99.00 99.00
2020 05 07 13 31     3.0 10.40 999.00 28.80  23.6  2.20  10.10    99 99.00 99.00
2020 05 08 01 30     3.0 10.60 999.00 28.90  38.1  3.50  20.90    99 99.00 99.00
2020 05 08 07 30     3.0 11.30 999.00 28.60  42.6  3.90  18.90    99 99.00 99.00
2020 05 08 13 31     3.0 11.20 999.00 28.40  47.8  4.40  19.90    99 99.00 99.00
2020 05 09 01 30     3.0 11.80 999.00 28.20  26.3  2.40  23.20    99 99.00 99.00
2020 05 09 07 30     3.0 10.40 999.00 29.60  22.5  2.10  19.20    99 99.00 99.00
2020 05 10 01 29     3.0 10.60 999.00 29.40  22.0  2.00  17.00    99 99.00 99.00
2020 05 10 07 30     3.0 11.60 999.00 28.60  16.9  1.50  15.10    99 99.00 99.00
2020 05 10 13 30     3.0 11.00 999.00 29.10  19.5  1.80  13.80    99 99.00 99.00
2020 05 10 19 28     3.0 11.80 999.00 28.40  29.1  2.60   5.60    99 99.00 99.00
2020 05 11 01 29     3.0 11.50 999.00 28.70  19.5  1.80   9.30    99 99.00 99.00
2020 05 11 07 30     3.0 11.40 999.00 28.80  21.0  1.90  11.60    99 99.00 99.00
2020 05 11 13 30     3.0  9.80 999.00 30.00  21.1  2.00   5.50    99 99.00 99.00
2020 05 11 19 28     3.0 10.70 999.00 29.10  17.7  1.60   2.50    99 99.00 99.00
2020 05 12 01 30     3.0 13.40 999.00 26.50  24.8  2.20   6.70    99 99.00 99.00
2020 05 12 13 51     3.0 10.20 999.00 29.50  24.4  2.30   7.00    99 99.00 99.00
2020 05 12 19 29     3.0 10.10 999.00 29.50  22.3  2.10   5.90    99 99.00 99.00
2020 05 13 07 30     3.0 10.90 999.00 28.50  25.1  2.30  12.40    99 99.00 99.00
2020 05 13 19 23     3.0 10.50 999.00 28.80  26.0  2.40  12.90    99 99.00 99.00
2020 05 14 07 30     3.0 10.20 999.00 29.00  24.4  2.30  17.60    99 99.00 99.00
2020 05 14 19 28     3.0  9.80 999.00 29.40  27.6  2.60   7.20    99 99.00 99.00
2020 05 15 01 29     3.0  9.60 999.00 29.60  28.5  2.70  12.50    99 99.00 99.00
2020 05 15 07 30     3.0 10.00 999.00 29.30  32.4  3.00  17.20    99 99.00 99.00
2020 05 15 13 30     3.0 10.00 999.00 29.50  36.2  3.40  10.70    99 99.00 99.00
2020 05 15 19 28     3.0  9.70 999.00 29.70  33.1  3.10   2.20    99 99.00 99.00
2020 05 16 01 29     3.0  9.80 999.00 29.70  32.4  3.00   2.70    99 99.00 99.00
2020 05 16 07 30     3.0 10.20 999.00 29.40  35.8  3.30   5.00    99 99.00 99.00
2020 05 16 13 30     3.0 10.10 999.00 29.50  17.6  1.60   8.40    99 99.00 99.00
2020 05 17 01 30     3.0 10.00 999.00 29.50  29.3  2.70  12.30    99 99.00 99.00
2020 05 17 07 30     3.0 10.30 999.00 29.30  22.4  2.10   7.20    99 99.00 99.00
2020 05 17 19 46     3.0 10.60 999.00 29.20  25.1  2.30   3.10    99 99.00 99.00
2020 05 18 01 29     3.0  9.90 999.00 29.50  29.4  2.70   8.40    99 99.00 99.00
2020 05 18 07 30     3.0 10.40 999.00 29.20  20.4  1.90   6.50    99 99.00 99.00
2020 05 18 13 30     3.0  9.90 999.00 29.60  27.0  2.50   5.50    99 99.00 99.00
2020 05 18 19 28     3.0 10.10 999.00 29.60  28.6  2.70   2.60    99 99.00 99.00
2020 05 19 01 29     3.0  9.90 999.00 29.60  29.6  2.80   2.80    99 99.00 99.00
2020 05 19 07 30     3.0 10.90 999.00 28.90  23.9  2.20   3.90    99 99.00 99.00
2020 05 19 13 30     3.0  9.70 999.00 29.70  27.4  2.60   4.60    99 99.00 99.00
2020 05 19 19 28     3.0 10.30 999.00 29.40  21.1  2.00   1.30    99 99.00 99.00
2020 05 20 07 30     3.0  9.70 999.00 29.80  20.5  1.90   2.90    99 99.00 99.00
2020 05 20 19 29     3.0  9.90 999.00 29.60  19.4  1.80   2.00    99 99.00 99.00
2020 05 21 07 30     3.0 11.20 999.00 28.50  24.3  2.20   2.50    99 99.00 99.00
2020 05 21 13 30     3.0 11.00 999.00 28.70  16.3  1.50   2.30    99 99.00 99.00
2020 05 22 01 29     3.0 12.80 999.00 27.40  36.7  3.30   1.70    99 99.00 99.00
2020 05 22 07 30     3.0 10.60 999.00 29.30  24.1  2.20   1.40    99 99.00 99.00
2020 05 22 13 30     3.0 10.40 999.00 29.40  23.3  2.20   1.60    99 99.00 99.00
2020 05 23 07 30     3.0 11.60 999.00 28.40  22.2  2.00   1.40    99 99.00 99.00
2020 05 23 13 30     3.0 10.30 999.00 29.40  25.6  2.40   1.30    99 99.00 99.00
2020 05 24 13 30     3.0 10.00 999.00 29.60  25.2  2.30   1.70    99 99.00 99.00
2020 05 25 01 29     3.0 10.80 999.00 28.90  24.5  2.30   1.80    99 99.00 99.00
2020 05 25 07 30     3.0 10.10 999.00 29.50  20.4  1.90   2.00    99 99.00 99.00
2020 05 25 13 30     3.0 10.10 999.00 29.60  22.1  2.10   1.60    99 99.00 99.00
2020 05 26 07 30     3.0 10.90 999.00 28.90  22.5  2.10   2.00    99 99.00 99.00
2020 05 26 13 30     3.0 10.50 999.00 29.30  27.8  2.60   1.70    99 99.00 99.00
2020 05 27 01 29     3.0  9.90 999.00 29.80  31.9  3.00   1.40    99 99.00 99.00
2020 05 27 07 25     3.0  9.90 999.00 29.80  23.9  2.20   1.70    99 99.00 99.00
2020 05 27 19 28     3.0 11.80 999.00 28.00  33.6  3.00   0.60    99 99.00 99.00
2020 05 28 01 25     3.0 10.10 999.00 29.70  30.6  2.90   0.80    99 99.00 99.00
2020 05 28 20 08     3.0 10.00 999.00 30.10  24.2  2.30   0.50    99 99.00 99.00
2020 06 03 18 46     3.0 12.90 999.00 27.60  42.0  3.70   1.70    99 99.00 99.00
2020 06 04 01 18     3.0 10.10 999.00 29.70  37.0  3.40   1.30    99 99.00 99.00
2020 06 04 13 22     3.0 10.70 999.00 29.40  29.4  2.70   1.10    99 99.00 99.00
2020 06 04 19 18     3.0 11.50 999.00 28.60  35.7  3.20   1.10    99 99.00 99.00
2020 06 05 01 35     3.0 10.30 999.00 29.50  27.7  2.60   1.00    99 99.00 99.00
2020 06 05 07 22     3.0 10.80 999.00 29.10  29.8  2.70   1.60    99 99.00 99.00
2020 06 05 13 22     3.0 10.80 999.00 29.20  29.2  2.70   1.10    99 99.00 99.00
2020 06 05 19 21     3.0 10.80 999.00 29.30  35.8  3.30   1.20    99 99.00 99.00
2020 06 06 01 22     3.0 11.50 999.00 28.70  39.2  3.60   1.30    99 99.00 99.00
2020 06 06 07 22     3.0 10.70 999.00 29.50  31.1  2.90   1.20    99 99.00 99.00
2020 06 06 13 22     3.0 10.40 999.00 29.60  28.3  2.60   1.00    99 99.00 99.00
2020 06 06 19 21     3.0 11.00 999.00 29.10  44.3  4.10   0.50    99 99.00 99.00
2020 06 07 01 22     3.0 10.70 999.00 29.50  39.5  3.60   1.60    99 99.00 99.00
2020 06 07 07 22     3.0 10.40 999.00 29.60  32.6  3.00   1.90    99 99.00 99.00
2020 06 07 19 35     3.0 10.50 999.00 29.40  23.7  2.20   1.60    99 99.00 99.00
2020 06 08 01 22     3.0 10.90 999.00 29.40  34.1  3.10   1.00    99 99.00 99.00
2020 06 08 07 22     3.0 11.20 999.00 29.20  29.9  2.70   2.10    99 99.00 99.00
2020 06 08 13 22     3.0 10.60 999.00 29.50  32.8  3.00   1.60    99 99.00 99.00
2020 06 08 19 21     3.0 11.30 999.00 28.90  45.0  4.10 999.00    99 99.00 99.00
2020 06 09 01 22     3.0 11.50 999.00 28.80  40.2  3.70   1.90    99 99.00 99.00
2020 06 09 07 22     3.0 11.00 999.00 29.20  32.1  2.90  11.10    99 99.00 99.00
2020 06 09 13 22     3.0 10.30 999.00 29.70  33.0  3.10   4.30    99 99.00 99.00
2020 06 09 19 22     3.0 10.50 999.00 29.60  31.5  2.90   2.90    99 99.00 99.00
2020 06 10 01 22     3.0 11.00 999.00 29.40  42.7  3.90   3.70    99 99.00 99.00
2020 06 10 07 18     3.0 12.20 999.00 28.10  33.7  3.00   7.40    99 99.00 99.00
2020 06 10 13 35     3.0 11.70 999.00 28.30  23.7  2.10   9.40    99 99.00 99.00
2020 06 10 19 22     3.0 11.20 999.00 29.20  32.8  3.00   3.40    99 99.00 99.00
2020 06 11 01 22     3.0 10.50 999.00 29.60  33.7  3.10   2.70    99 99.00 99.00
2020 06 11 07 22     3.0 11.50 999.00 29.10  35.9  3.30   9.60    99 99.00 99.00
2020 06 11 13 22     3.0 11.70 999.00 28.80  28.9  2.60   6.80    99 99.00 99.00
2020 06 11 19 21     3.0 11.60 999.00 28.80  33.9  3.10   2.20    99 99.00 99.00
2020 06 12 01 22     3.0 11.10 999.00 29.40  33.0  3.00   4.20    99 99.00 99.00
2020 06 12 07 22     3.0 10.80 999.00 29.60  29.5  2.70   5.40    99 99.00 99.00
2020 06 12 13 22     3.0 12.00 999.00 28.60  36.9  3.30   3.40    99 99.00 99.00
2020 06 12 19 22     3.0 11.50 999.00 29.10  38.1  3.50   3.20    99 99.00 99.00
2020 06 13 01 22     3.0 11.00 999.00 29.50  36.8  3.40   2.90    99 99.00 99.00
2020 06 13 07 22     3.0 11.40 999.00 29.20  36.8  3.30   4.30    99 99.00 99.00
2020 06 13 13 22     3.0 11.90 999.00 28.90  33.5  3.00   4.50    99 99.00 99.00
2020 06 13 19 21     3.0 13.10 999.00 27.60  42.0  3.70   1.00    99 99.00 99.00
2020 06 14 07 22     3.0 11.00 999.00 29.30  31.4  2.90   3.60    99 99.00 99.00
2020 06 14 13 22     3.0 11.30 999.00 29.20  28.3  2.60   2.80    99 99.00 99.00
2020 06 14 19 22     3.0 12.10 999.00 28.40  37.1  3.30   1.90    99 99.00 99.00
2020 06 15 01 22     3.0 11.40 999.00 28.90  32.9  3.00   2.50    99 99.00 99.00
2020 06 15 07 22     3.0 12.50 999.00 28.00  31.0  2.80   3.30    99 99.00 99.00
2020 06 15 13 22     3.0 11.20 999.00 29.20  30.0  2.70   3.50    99 99.00 99.00
2020 06 15 19 21     3.0 11.80 999.00 28.50  20.4  1.80   1.40    99 99.00 99.00
2020 06 16 01 22     3.0 10.30 999.00 29.60  27.6  2.60   1.70    99 99.00 99.00
2020 06 16 07 22     3.0 10.30 999.00 29.70  28.4  2.60   5.10    99 99.00 99.00
2020 06 16 13 22     3.0 10.20 999.00 29.70  21.2  2.00   7.20    99 99.00 99.00
2020 06 17 01 22     3.0 10.50 999.00 29.70  26.4  2.40   3.00    99 99.00 99.00
2020 06 17 13 22     3.0 12.00 999.00 28.60  29.9  2.70   3.20    99 99.00 99.00
2020 06 17 19 21     3.0 11.50 999.00 29.00  31.7  2.90   1.20    99 99.00 99.00
2020 06 18 01 22     3.0 11.30 999.00 29.20  29.7  2.70   2.10    99 99.00 99.00
2020 06 18 07 22     3.0 11.50 999.00 28.90  29.0  2.60   2.90    99 99.00 99.00
2020 06 18 13 22     3.0 11.20 999.00 29.10  28.8  2.60   2.50    99 99.00 99.00
2020 06 18 19 17     3.0 13.40 999.00 27.40  35.8  3.20   1.40    99 99.00 99.00
2020 06 19 01 34     3.0 12.50 999.00 28.00  23.4  2.10   1.10    99 99.00 99.00
2020 06 19 07 22     3.0 11.60 999.00 29.00  25.3  2.30   1.70    99 99.00 99.00
2020 06 19 13 22     3.0 11.70 999.00 28.80  26.3  2.40   1.10    99 99.00 99.00
2020 06 19 19 21     3.0 10.80 999.00 29.50  23.1  2.10   0.50    99 99.00 99.00
2020 06 20 01 22     3.0 13.00 999.00 27.90  26.5  2.40   1.10    99 99.00 99.00
2020 06 20 07 22     3.0 10.60 999.00 29.60  26.7  2.50   1.20    99 99.00 99.00
2020 06 20 13 22     3.0 11.50 999.00 28.90  29.6  2.70   1.20    99 99.00 99.00
