Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-06T12:19:27-0700, -62 ft, 7.0145
2023-09-06T12:19:27-0700, -3 ft, 7.0417
2023-09-06T12:19:27-0700, -7 ft, 7.035
2023-09-06T12:19:27-0700, -10 ft, 7.0284
2023-09-06T12:19:27-0700, -13 ft, 7.0218
2023-09-06T12:19:27-0700, -16 ft, 7.0141
2023-09-06T12:19:27-0700, -20 ft, 7.0114
2023-09-06T12:19:27-0700, -23 ft, 7.0148
2023-09-06T12:19:27-0700, -26 ft, 7.0182
2023-09-06T12:19:27-0700, -30 ft, 7.0194
2023-09-07T12:19:34-0700, -33 ft, 7.0011
2023-09-07T12:19:34-0700, -36 ft, 6.997
2023-09-07T12:19:34-0700, -39 ft, 6.997
2023-09-07T12:19:34-0700, -43 ft, 6.9936
2023-09-07T12:19:34-0700, -46 ft, 6.986
2023-09-07T12:19:34-0700, -49 ft, 6.9739
2023-09-07T12:19:34-0700, -52 ft, 6.9606
2023-09-07T12:19:34-0700, -56 ft, 6.9513
2023-09-07T12:19:34-0700, -59 ft, 6.9405
2023-09-07T12:19:34-0700, -62 ft, 6.9264
2023-09-07T12:19:34-0700, -3 ft, 6.9646
2023-09-07T12:19:34-0700, -66 ft, 6.9172
2023-09-07T12:19:34-0700, -69 ft, 6.9064
2023-09-07T12:19:34-0700, -72 ft, 6.9001
2023-09-07T12:19:34-0700, -75 ft, 6.8994
2023-09-07T12:19:34-0700, -79 ft, 6.8944
2023-09-07T12:19:34-0700, -82 ft, 6.8869
2023-09-07T12:19:34-0700, -85 ft, 6.8786
2023-09-07T12:19:34-0700, -89 ft, 6.8662
2023-09-07T12:19:34-0700, -92 ft, 6.855
2023-09-07T12:19:34-0700, -7 ft, 6.9759
2023-09-07T12:19:34-0700, -10 ft, 6.9871
2023-09-07T12:19:34-0700, -13 ft, 6.9984
2023-09-07T12:19:34-0700, -16 ft, 7.0004
2023-09-07T12:19:34-0700, -20 ft, 6.9986
2023-09-07T12:19:34-0700, -23 ft, 7.0005
2023-09-07T12:19:34-0700, -26 ft, 7.0035
2023-09-07T12:19:34-0700, -30 ft, 7.0042
2023-09-08T12:20:04-0700, -33 ft, 6.9874
2023-09-08T12:20:04-0700, -36 ft, 6.9814
2023-09-08T12:20:04-0700, -39 ft, 6.9773
2023-09-08T12:20:04-0700, -43 ft, 6.975
2023-09-08T12:20:04-0700, -46 ft, 6.9707
2023-09-08T12:20:04-0700, -49 ft, 6.9689
2023-09-08T12:20:04-0700, -52 ft, 6.9638
2023-09-08T12:20:04-0700, -56 ft, 6.962
2023-09-08T12:20:04-0700, -59 ft, 6.9581
2023-09-08T12:20:04-0700, -62 ft, 6.9531
2023-09-08T12:20:04-0700, -3 ft, 7.0489
2023-09-08T12:20:04-0700, -7 ft, 7.0435
2023-09-08T12:20:04-0700, -10 ft, 7.038
2023-09-08T12:20:04-0700, -13 ft, 7.0325
2023-09-08T12:20:04-0700, -16 ft, 7.0244
2023-09-08T12:20:04-0700, -20 ft, 7.013
2023-09-08T12:20:04-0700, -23 ft, 7.0011
2023-09-08T12:20:04-0700, -26 ft, 6.991
2023-09-08T12:20:04-0700, -30 ft, 6.9879
2023-09-09T12:19:54-0700, -33 ft, 7.0692
2023-09-09T12:19:54-0700, -36 ft, 7.0267
2023-09-09T12:19:54-0700, -39 ft, 7.0056
2023-09-09T12:19:54-0700, -43 ft, 7.0001
2023-09-09T12:19:54-0700, -46 ft, 6.999
2023-09-09T12:19:54-0700, -49 ft, 7.0008
2023-09-09T12:19:54-0700, -52 ft, 6.999
2023-09-09T12:19:54-0700, -56 ft, 6.9941
2023-09-09T12:19:54-0700, -59 ft, 6.993
2023-09-09T12:19:54-0700, -62 ft, 6.9907
2023-09-09T12:19:54-0700, -3 ft, 7.09
2023-09-09T12:19:54-0700, -66 ft, 6.9705
2023-09-09T12:19:54-0700, -7 ft, 7.0986
2023-09-09T12:19:54-0700, -10 ft, 7.1071
2023-09-09T12:19:54-0700, -13 ft, 7.1156
2023-09-09T12:19:54-0700, -16 ft, 7.1124
2023-09-09T12:19:54-0700, -20 ft, 7.1059
2023-09-09T12:19:54-0700, -23 ft, 7.1124
2023-09-09T12:19:54-0700, -26 ft, 7.1196
2023-09-09T12:19:54-0700, -30 ft, 7.1073
2023-09-10T12:19:59-0700, -33 ft, 6.8732
2023-09-10T12:19:59-0700, -36 ft, 6.8603
2023-09-10T12:19:59-0700, -39 ft, 6.8566
2023-09-10T12:19:59-0700, -43 ft, 6.8561
2023-09-10T12:19:59-0700, -46 ft, 6.8556
2023-09-10T12:19:59-0700, -49 ft, 6.8584
2023-09-10T12:19:59-0700, -52 ft, 6.8656
2023-09-10T12:19:59-0700, -56 ft, 6.8689
2023-09-10T12:19:59-0700, -59 ft, 6.868
2023-09-10T12:19:59-0700, -62 ft, 6.8693
2023-09-10T12:19:59-0700, -3 ft, 7.039
2023-09-10T12:19:59-0700, -7 ft, 7.048
2023-09-10T12:19:59-0700, -10 ft, 7.0569
2023-09-10T12:19:59-0700, -13 ft, 7.0659
2023-09-10T12:19:59-0700, -16 ft, 7.0692
2023-09-10T12:19:59-0700, -20 ft, 7.0648
2023-09-10T12:19:59-0700, -23 ft, 7.0268
2023-09-10T12:19:59-0700, -26 ft, 6.9552
2023-09-10T12:19:59-0700, -30 ft, 6.8992
2023-09-11T12:20:26-0700, -33 ft, 6.8865
2023-09-11T12:20:26-0700, -36 ft, 6.8878
2023-09-11T12:20:26-0700, -39 ft, 6.8877
2023-09-11T12:20:26-0700, -43 ft, 6.8838
2023-09-11T12:20:26-0700, -46 ft, 6.8725
2023-09-11T12:20:26-0700, -49 ft, 6.8513
2023-09-11T12:20:26-0700, -52 ft, 6.8256
2023-09-11T12:20:26-0700, -56 ft, 6.8022
2023-09-11T12:20:26-0700, -59 ft, 6.7818
2023-09-11T12:20:26-0700, -62 ft, 6.7527
2023-09-11T12:20:26-0700, -3 ft, 7.048
2023-09-11T12:20:26-0700, -66 ft, 6.7228
2023-09-11T12:20:26-0700, -69 ft, 6.7114
2023-09-11T12:20:26-0700, -72 ft, 6.704
2023-09-11T12:20:26-0700, -75 ft, 6.7085
2023-09-11T12:20:26-0700, -79 ft, 6.7133
2023-09-11T12:20:26-0700, -82 ft, 6.7095
2023-09-11T12:20:26-0700, -85 ft, 6.7038
2023-09-11T12:20:26-0700, -89 ft, 6.7064
2023-09-11T12:20:26-0700, -92 ft, 6.7062
2023-09-11T12:20:26-0700, -7 ft, 7.0521
2023-09-11T12:20:26-0700, -10 ft, 7.0563
2023-09-11T12:20:26-0700, -13 ft, 7.0604
2023-09-11T12:20:26-0700, -16 ft, 7.039
2023-09-11T12:20:26-0700, -20 ft, 6.9795
2023-09-11T12:20:26-0700, -23 ft, 6.9236
2023-09-11T12:20:26-0700, -26 ft, 6.9012
2023-09-11T12:20:26-0700, -30 ft, 6.8915
2023-09-12T12:20:44-0700, -33 ft, 6.9941
2023-09-12T12:20:44-0700, -36 ft, 6.9841
2023-09-12T12:20:44-0700, -39 ft, 6.9734
2023-09-12T12:20:44-0700, -43 ft, 6.967
2023-09-12T12:20:44-0700, -46 ft, 6.9635
2023-09-12T12:20:44-0700, -49 ft, 6.9498
2023-09-12T12:20:44-0700, -52 ft, 6.9287
2023-09-12T12:20:44-0700, -56 ft, 6.8997
2023-09-12T12:20:44-0700, -59 ft, 6.8655
2023-09-12T12:20:44-0700, -62 ft, 6.8277
2023-09-12T12:20:44-0700, -3 ft, 7.0404
2023-09-12T12:20:44-0700, -7 ft, 7.0375
2023-09-12T12:20:44-0700, -10 ft, 7.0345
