Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-04T00:21:00-0700, -62 ft, 3.2741
2023-09-04T00:21:00-0700, -3 ft, 4.4224
2023-09-04T00:21:00-0700, -7 ft, 4.6102
2023-09-04T00:21:00-0700, -10 ft, 4.7981
2023-09-04T00:21:00-0700, -13 ft, 4.986
2023-09-04T00:21:00-0700, -16 ft, 4.995
2023-09-04T00:21:00-0700, -20 ft, 4.7998
2023-09-04T00:21:00-0700, -23 ft, 4.5952
2023-09-04T00:21:00-0700, -26 ft, 4.448
2023-09-04T00:21:00-0700, -30 ft, 4.3432
2023-09-04T12:20:36-0700, -33 ft, 3.991
2023-09-04T12:20:36-0700, -36 ft, 3.8823
2023-09-04T12:20:36-0700, -39 ft, 3.8167
2023-09-04T12:20:36-0700, -43 ft, 3.7507
2023-09-04T12:20:36-0700, -46 ft, 3.6979
2023-09-04T12:20:36-0700, -49 ft, 3.6463
2023-09-04T12:20:36-0700, -52 ft, 3.5749
2023-09-04T12:20:36-0700, -56 ft, 3.5116
2023-09-04T12:20:36-0700, -59 ft, 3.4549
2023-09-04T12:20:36-0700, -62 ft, 3.316
2023-09-04T12:20:36-0700, -3 ft, 5.2888
2023-09-04T12:20:36-0700, -66 ft, 3.0361
2023-09-04T12:20:36-0700, -7 ft, 5.2519
2023-09-04T12:20:36-0700, -10 ft, 5.215
2023-09-04T12:20:36-0700, -13 ft, 5.1254
2023-09-04T12:20:36-0700, -16 ft, 4.9252
2023-09-04T12:20:36-0700, -20 ft, 4.6757
2023-09-04T12:20:36-0700, -23 ft, 4.4618
2023-09-04T12:20:36-0700, -26 ft, 4.3094
2023-09-04T12:20:36-0700, -30 ft, 4.1593
2023-09-05T00:20:50-0700, -33 ft, 4.5212
2023-09-05T00:20:50-0700, -36 ft, 4.4143
2023-09-05T00:20:50-0700, -39 ft, 4.3071
2023-09-05T00:20:50-0700, -43 ft, 4.1828
2023-09-05T00:20:50-0700, -46 ft, 4.0855
2023-09-05T00:20:50-0700, -49 ft, 4.02
2023-09-05T00:20:50-0700, -52 ft, 3.936
2023-09-05T00:20:50-0700, -56 ft, 3.8221
2023-09-05T00:20:50-0700, -59 ft, 3.7113
2023-09-05T00:20:50-0700, -62 ft, 3.6289
2023-09-05T00:20:50-0700, -3 ft, 5.6489
2023-09-05T00:20:50-0700, -66 ft, 3.5258
2023-09-05T00:20:50-0700, -7 ft, 5.791
2023-09-05T00:20:50-0700, -10 ft, 5.9332
2023-09-05T00:20:50-0700, -13 ft, 5.9716
2023-09-05T00:20:50-0700, -16 ft, 5.8502
2023-09-05T00:20:50-0700, -20 ft, 5.5762
2023-09-05T00:20:50-0700, -23 ft, 5.2175
2023-09-05T00:20:50-0700, -26 ft, 4.9054
2023-09-05T00:20:50-0700, -30 ft, 4.6778
2023-09-05T12:20:24-0700, -33 ft, 4.5029
2023-09-05T12:20:24-0700, -36 ft, 4.3871
2023-09-05T12:20:24-0700, -39 ft, 4.2344
2023-09-05T12:20:24-0700, -43 ft, 4.0765
2023-09-05T12:20:24-0700, -46 ft, 3.9555
2023-09-05T12:20:24-0700, -49 ft, 3.8876
2023-09-05T12:20:24-0700, -52 ft, 3.861
2023-09-05T12:20:24-0700, -56 ft, 3.8434
2023-09-05T12:20:24-0700, -59 ft, 3.802
2023-09-05T12:20:24-0700, -62 ft, 3.7327
2023-09-05T12:20:24-0700, -3 ft, 5.9095
2023-09-05T12:20:24-0700, -66 ft, 3.6595
2023-09-05T12:20:24-0700, -69 ft, 3.5814
2023-09-05T12:20:24-0700, -72 ft, 3.4978
2023-09-05T12:20:24-0700, -75 ft, 3.3966
2023-09-05T12:20:24-0700, -79 ft, 3.2443
2023-09-05T12:20:24-0700, -82 ft, 3.0723
2023-09-05T12:20:24-0700, -85 ft, 2.9499
2023-09-05T12:20:24-0700, -89 ft, 2.8789
2023-09-05T12:20:24-0700, -92 ft, 2.8426
2023-09-05T12:20:24-0700, -7 ft, 5.9535
2023-09-05T12:20:24-0700, -10 ft, 5.9975
2023-09-05T12:20:24-0700, -13 ft, 5.9382
2023-09-05T12:20:24-0700, -16 ft, 5.7045
2023-09-05T12:20:24-0700, -20 ft, 5.3558
2023-09-05T12:20:24-0700, -23 ft, 5.0157
2023-09-05T12:20:24-0700, -26 ft, 4.7805
2023-09-05T12:20:24-0700, -30 ft, 4.6221
2023-09-06T00:20:53-0700, -33 ft, 4.2434
2023-09-06T00:20:53-0700, -36 ft, 4.143
2023-09-06T00:20:53-0700, -39 ft, 4.0243
2023-09-06T00:20:53-0700, -43 ft, 3.9097
2023-09-06T00:20:53-0700, -46 ft, 3.8355
2023-09-06T00:20:53-0700, -49 ft, 3.7865
2023-09-06T00:20:53-0700, -52 ft, 3.7265
2023-09-06T00:20:53-0700, -56 ft, 3.6691
2023-09-06T00:20:53-0700, -59 ft, 3.6218
2023-09-06T00:20:53-0700, -62 ft, 3.5804
2023-09-06T00:20:53-0700, -3 ft, 4.458
2023-09-06T00:20:53-0700, -66 ft, 3.4811
2023-09-06T00:20:53-0700, -7 ft, 4.5157
2023-09-06T00:20:53-0700, -10 ft, 4.5733
2023-09-06T00:20:53-0700, -13 ft, 4.5859
2023-09-06T00:20:53-0700, -16 ft, 4.5432
2023-09-06T00:20:53-0700, -20 ft, 4.4762
2023-09-06T00:20:53-0700, -23 ft, 4.4048
2023-09-06T00:20:53-0700, -26 ft, 4.34
2023-09-06T00:20:53-0700, -30 ft, 4.2934
2023-09-06T12:20:04-0700, -33 ft, 4.2288
2023-09-06T12:20:04-0700, -36 ft, 4.1716
2023-09-06T12:20:04-0700, -39 ft, 4.0498
2023-09-06T12:20:04-0700, -43 ft, 3.9252
2023-09-06T12:20:04-0700, -46 ft, 3.8088
2023-09-06T12:20:04-0700, -49 ft, 3.6934
2023-09-06T12:20:04-0700, -52 ft, 3.6017
2023-09-06T12:20:04-0700, -56 ft, 3.538
2023-09-06T12:20:04-0700, -59 ft, 3.4799
2023-09-06T12:20:04-0700, -62 ft, 3.4233
2023-09-06T12:20:04-0700, -3 ft, 4.6476
2023-09-06T12:20:04-0700, -66 ft, 3.3514
2023-09-06T12:20:04-0700, -7 ft, 4.6373
2023-09-06T12:20:04-0700, -10 ft, 4.627
2023-09-06T12:20:04-0700, -13 ft, 4.6167
2023-09-06T12:20:04-0700, -16 ft, 4.5687
2023-09-06T12:20:04-0700, -20 ft, 4.4911
2023-09-06T12:20:04-0700, -23 ft, 4.3972
2023-09-06T12:20:04-0700, -26 ft, 4.3038
2023-09-06T12:20:04-0700, -30 ft, 4.2523
2023-09-07T00:20:53-0700, -33 ft, 4.2611
2023-09-07T00:20:53-0700, -36 ft, 4.231
2023-09-07T00:20:53-0700, -39 ft, 4.1404
2023-09-07T00:20:53-0700, -43 ft, 3.9762
2023-09-07T00:20:53-0700, -46 ft, 3.8311
2023-09-07T00:20:53-0700, -49 ft, 3.7283
2023-09-07T00:20:53-0700, -52 ft, 3.6447
2023-09-07T00:20:53-0700, -56 ft, 3.581
2023-09-07T00:20:53-0700, -59 ft, 3.5344
2023-09-07T00:20:53-0700, -62 ft, 3.4793
2023-09-07T00:20:53-0700, -3 ft, 4.6893
2023-09-07T00:20:53-0700, -66 ft, 3.3308
2023-09-07T00:20:53-0700, -7 ft, 4.7605
2023-09-07T00:20:53-0700, -10 ft, 4.8316
2023-09-07T00:20:53-0700, -13 ft, 4.8264
2023-09-07T00:20:53-0700, -16 ft, 4.7453
2023-09-07T00:20:53-0700, -20 ft, 4.6214
2023-09-07T00:20:53-0700, -23 ft, 4.5057
2023-09-07T00:20:53-0700, -26 ft, 4.3972
2023-09-07T00:20:53-0700, -30 ft, 4.3102
2023-09-07T12:20:21-0700, -33 ft, 4.2691
2023-09-07T12:20:21-0700, -36 ft, 4.2143
2023-09-07T12:20:21-0700, -39 ft, 4.0795
2023-09-07T12:20:21-0700, -43 ft, 3.9049
2023-09-07T12:20:21-0700, -46 ft, 3.7704
2023-09-07T12:20:21-0700, -49 ft, 3.68
2023-09-07T12:20:21-0700, -52 ft, 3.6112
2023-09-07T12:20:21-0700, -56 ft, 3.5571
2023-09-07T12:20:21-0700, -59 ft, 3.5138
2023-09-07T12:20:21-0700, -62 ft, 3.4781
2023-09-07T12:20:21-0700, -3 ft, 4.6819
2023-09-07T12:20:21-0700, -66 ft, 3.4484
2023-09-07T12:20:21-0700, -69 ft, 3.4073
2023-09-07T12:20:21-0700, -72 ft, 3.3521
2023-09-07T12:20:21-0700, -75 ft, 3.3046
2023-09-07T12:20:21-0700, -79 ft, 3.2507
2023-09-07T12:20:21-0700, -82 ft, 3.1272
2023-09-07T12:20:21-0700, -85 ft, 2.974
2023-09-07T12:20:21-0700, -89 ft, 2.8778
2023-09-07T12:20:21-0700, -92 ft, 2.8375
2023-09-07T12:20:21-0700, -7 ft, 4.7414
2023-09-07T12:20:21-0700, -10 ft, 4.8008
2023-09-07T12:20:21-0700, -13 ft, 4.8104
2023-09-07T12:20:21-0700, -16 ft, 4.7435
2023-09-07T12:20:21-0700, -20 ft, 4.6352
2023-09-07T12:20:21-0700, -23 ft, 4.5138
2023-09-07T12:20:21-0700, -26 ft, 4.398
2023-09-07T12:20:21-0700, -30 ft, 4.3152
2023-09-08T00:20:51-0700, -33 ft, 4.1803
2023-09-08T00:20:51-0700, -36 ft, 4.0315
2023-09-08T00:20:51-0700, -39 ft, 3.8879
2023-09-08T00:20:51-0700, -43 ft, 3.7716
2023-09-08T00:20:51-0700, -46 ft, 3.6758
2023-09-08T00:20:51-0700, -49 ft, 3.5976
2023-09-08T00:20:51-0700, -52 ft, 3.5514
2023-09-08T00:20:51-0700, -56 ft, 3.5274
2023-09-08T00:20:51-0700, -59 ft, 3.4991
2023-09-08T00:20:51-0700, -62 ft, 3.461
2023-09-08T00:20:51-0700, -3 ft, 4.497
2023-09-08T00:20:51-0700, -66 ft, 3.4067
2023-09-08T00:20:51-0700, -7 ft, 4.6116
2023-09-08T00:20:51-0700, -10 ft, 4.7262
2023-09-08T00:20:51-0700, -13 ft, 4.7541
2023-09-08T00:20:51-0700, -16 ft, 4.672
2023-09-08T00:20:51-0700, -20 ft, 4.5633
2023-09-08T00:20:51-0700, -23 ft, 4.4614
